,,,,Total,Hombre,Mujer,No especificado
,Total,Total,Total,"33,287","28,745","3,928",614
,Total,Total,Enero,"2,689","2,306",329,54
,Total,Total,Febrero,"2,403","2,057",301,45
,Total,Total,Marzo,"2,811","2,456",315,40
,Total,Total,Abril,"2,674","2,275",334,65
,Total,Total,Mayo,"3,015","2,636",324,55
,Total,Total,Junio,"2,845","2,407",374,64
,Total,Total,Julio,"2,838","2,469",318,51
,Total,Total,Agosto,"2,712","2,329",339,44
,Total,Total,Septiembre,"2,765","2,417",333,15
,Total,Total,Octubre,"2,924","2,536",318,70
,Total,Total,Noviembre,"2,583","2,236",298,49
,Total,Total,Diciembre,"2,744","2,398",310,36
,Total,Total,No especificado,284,223,35,26
,Total,1967,Total,1,,,1
,Total,1967,Mayo,1,,,1
,Total,1986,Total,1,1,,
,Total,1986,Junio,1,1,,
,Total,1995,Total,1,1,,
,Total,1995,Diciembre,1,1,,
,Total,1997,Total,1,1,,
,Total,1997,Diciembre,1,1,,
,Total,1999,Total,2,2,,
,Total,1999,Julio,1,1,,
,Total,1999,Septiembre,1,1,,
,Total,2005,Total,1,1,,
,Total,2005,Septiembre,1,1,,
,Total,2006,Total,2,2,,
,Total,2006,Marzo,1,1,,
,Total,2006,Abril,1,1,,
,Total,2009,Total,2,2,,
,Total,2009,Marzo,1,1,,
,Total,2009,Julio,1,1,,
,Total,2010,Total,4,3,1,
,Total,2010,Enero,1,1,,
,Total,2010,Octubre,3,2,1,
,Total,2012,Total,5,4,1,
,Total,2012,Marzo,1,,1,
,Total,2012,Abril,2,2,,
,Total,2012,Julio,1,1,,
,Total,2012,Diciembre,1,1,,
,Total,2014,Total,2,2,,
,Total,2014,Febrero,1,1,,
,Total,2014,Octubre,1,1,,
,Total,2015,Total,1,,1,
,Total,2015,Octubre,1,,1,
,Total,2016,Total,14,12,1,1
,Total,2016,Marzo,1,,1,
,Total,2016,Abril,1,1,,
,Total,2016,Junio,3,3,,
,Total,2016,Julio,2,2,,
,Total,2016,Agosto,1,1,,
,Total,2016,Octubre,4,3,,1
,Total,2016,Diciembre,2,2,,
,Total,2017,Total,25,22,3,
,Total,2017,Enero,2,,2,
,Total,2017,Febrero,1,,1,
,Total,2017,Marzo,1,1,,
,Total,2017,Junio,4,4,,
,Total,2017,Julio,5,5,,
,Total,2017,Agosto,4,4,,
,Total,2017,Septiembre,3,3,,
,Total,2017,Octubre,2,2,,
,Total,2017,Noviembre,3,3,,
,Total,2018,Total,23,17,4,2
,Total,2018,Enero,1,1,,
,Total,2018,Febrero,1,1,,
,Total,2018,Marzo,3,3,,
,Total,2018,Mayo,4,4,,
,Total,2018,Junio,2,1,1,
,Total,2018,Julio,2,1,,1
,Total,2018,Agosto,1,,1,
,Total,2018,Septiembre,5,3,2,
,Total,2018,Octubre,2,2,,
,Total,2018,Noviembre,2,1,,1
,Total,2019,Total,93,67,15,11
,Total,2019,Enero,6,6,,
,Total,2019,Febrero,9,6,1,2
,Total,2019,Marzo,6,4,2,
,Total,2019,Abril,6,4,2,
,Total,2019,Mayo,6,5,1,
,Total,2019,Junio,4,3,,1
,Total,2019,Julio,8,6,2,
,Total,2019,Agosto,8,2,2,4
,Total,2019,Septiembre,12,12,,
,Total,2019,Octubre,7,5,2,
,Total,2019,Noviembre,12,8,2,2
,Total,2019,Diciembre,9,6,1,2
,Total,2020,Total,257,200,36,21
,Total,2020,Enero,30,24,4,2
,Total,2020,Febrero,13,11,2,
,Total,2020,Marzo,8,6,2,
,Total,2020,Abril,19,17,2,
,Total,2020,Mayo,17,16,,1
,Total,2020,Junio,25,19,6,
,Total,2020,Julio,19,16,3,
,Total,2020,Agosto,17,12,1,4
,Total,2020,Septiembre,17,14,2,1
,Total,2020,Octubre,30,20,6,4
,Total,2020,Noviembre,29,25,1,3
,Total,2020,Diciembre,24,16,2,6
,Total,2020,No especificado,9,4,5,
,Total,2021,Total,777,654,77,46
,Total,2021,Enero,26,26,,
,Total,2021,Febrero,24,21,1,2
,Total,2021,Marzo,33,27,3,3
,Total,2021,Abril,35,31,2,2
,Total,2021,Mayo,21,19,1,1
,Total,2021,Junio,51,40,5,6
,Total,2021,Julio,51,44,6,1
,Total,2021,Agosto,66,51,12,3
,Total,2021,Septiembre,54,47,6,1
,Total,2021,Octubre,76,62,5,9
,Total,2021,Noviembre,141,112,14,15
,Total,2021,Diciembre,193,169,21,3
,Total,2021,No especificado,6,5,1,
,Total,2022,Total,"31,891","27,616","3,767",508
,Total,2022,Enero,"2,623","2,248",323,52
,Total,2022,Febrero,"2,354","2,017",296,41
,Total,2022,Marzo,"2,756","2,413",306,37
,Total,2022,Abril,"2,610","2,219",328,63
,Total,2022,Mayo,"2,966","2,592",322,52
,Total,2022,Junio,"2,755","2,336",362,57
,Total,2022,Julio,"2,748","2,392",307,49
,Total,2022,Agosto,"2,615","2,259",323,33
,Total,2022,Septiembre,"2,672","2,336",323,13
,Total,2022,Octubre,"2,798","2,439",303,56
,Total,2022,Noviembre,"2,396","2,087",281,28
,Total,2022,Diciembre,"2,513","2,202",286,25
,Total,2022,No especificado,85,76,7,2
,Total,No especificado,Total,184,138,22,24
,Total,No especificado,No especificado,184,138,22,24
1,Aguascalientes,Total,Total,83,71,12,
1,Aguascalientes,Total,Enero,7,6,1,
1,Aguascalientes,Total,Febrero,7,5,2,
1,Aguascalientes,Total,Marzo,6,5,1,
1,Aguascalientes,Total,Abril,2,2,,
1,Aguascalientes,Total,Mayo,5,5,,
1,Aguascalientes,Total,Junio,8,7,1,
1,Aguascalientes,Total,Julio,8,8,,
1,Aguascalientes,Total,Agosto,9,8,1,
1,Aguascalientes,Total,Septiembre,8,6,2,
1,Aguascalientes,Total,Octubre,10,7,3,
1,Aguascalientes,Total,Noviembre,7,6,1,
1,Aguascalientes,Total,Diciembre,6,6,,
1,Aguascalientes,2022,Total,83,71,12,
1,Aguascalientes,2022,Enero,7,6,1,
1,Aguascalientes,2022,Febrero,7,5,2,
1,Aguascalientes,2022,Marzo,6,5,1,
1,Aguascalientes,2022,Abril,2,2,,
1,Aguascalientes,2022,Mayo,5,5,,
1,Aguascalientes,2022,Junio,8,7,1,
1,Aguascalientes,2022,Julio,8,8,,
1,Aguascalientes,2022,Agosto,9,8,1,
1,Aguascalientes,2022,Septiembre,8,6,2,
1,Aguascalientes,2022,Octubre,10,7,3,
1,Aguascalientes,2022,Noviembre,7,6,1,
1,Aguascalientes,2022,Diciembre,6,6,,
01 001,Aguascalientes,Total,Total,42,37,5,
01 001,Aguascalientes,Total,Enero,4,4,,
01 001,Aguascalientes,Total,Febrero,6,5,1,
01 001,Aguascalientes,Total,Marzo,4,3,1,
01 001,Aguascalientes,Total,Mayo,1,1,,
01 001,Aguascalientes,Total,Junio,8,7,1,
01 001,Aguascalientes,Total,Julio,1,1,,
01 001,Aguascalientes,Total,Agosto,4,4,,
01 001,Aguascalientes,Total,Septiembre,7,5,2,
01 001,Aguascalientes,Total,Octubre,2,2,,
01 001,Aguascalientes,Total,Noviembre,3,3,,
01 001,Aguascalientes,Total,Diciembre,2,2,,
01 001,Aguascalientes,2022,Total,42,37,5,
01 001,Aguascalientes,2022,Enero,4,4,,
01 001,Aguascalientes,2022,Febrero,6,5,1,
01 001,Aguascalientes,2022,Marzo,4,3,1,
01 001,Aguascalientes,2022,Mayo,1,1,,
01 001,Aguascalientes,2022,Junio,8,7,1,
01 001,Aguascalientes,2022,Julio,1,1,,
01 001,Aguascalientes,2022,Agosto,4,4,,
01 001,Aguascalientes,2022,Septiembre,7,5,2,
01 001,Aguascalientes,2022,Octubre,2,2,,
01 001,Aguascalientes,2022,Noviembre,3,3,,
01 001,Aguascalientes,2022,Diciembre,2,2,,
01 002,Asientos,Total,Total,2,2,,
01 002,Asientos,Total,Enero,1,1,,
01 002,Asientos,Total,Diciembre,1,1,,
01 002,Asientos,2022,Total,2,2,,
01 002,Asientos,2022,Enero,1,1,,
01 002,Asientos,2022,Diciembre,1,1,,
01 003,Calvillo,Total,Total,11,9,2,
01 003,Calvillo,Total,Mayo,3,3,,
01 003,Calvillo,Total,Julio,3,3,,
01 003,Calvillo,Total,Agosto,3,2,1,
01 003,Calvillo,Total,Octubre,1,1,,
01 003,Calvillo,Total,Noviembre,1,,1,
01 003,Calvillo,2022,Total,11,9,2,
01 003,Calvillo,2022,Mayo,3,3,,
01 003,Calvillo,2022,Julio,3,3,,
01 003,Calvillo,2022,Agosto,3,2,1,
01 003,Calvillo,2022,Octubre,1,1,,
01 003,Calvillo,2022,Noviembre,1,,1,
01 004,Cosío,Total,Total,2,2,,
01 004,Cosío,Total,Marzo,1,1,,
01 004,Cosío,Total,Mayo,1,1,,
01 004,Cosío,2022,Total,2,2,,
01 004,Cosío,2022,Marzo,1,1,,
01 004,Cosío,2022,Mayo,1,1,,
01 005,Jesús María,Total,Total,8,7,1,
01 005,Jesús María,Total,Enero,2,1,1,
01 005,Jesús María,Total,Abril,1,1,,
01 005,Jesús María,Total,Julio,2,2,,
01 005,Jesús María,Total,Diciembre,3,3,,
01 005,Jesús María,2022,Total,8,7,1,
01 005,Jesús María,2022,Enero,2,1,1,
01 005,Jesús María,2022,Abril,1,1,,
01 005,Jesús María,2022,Julio,2,2,,
01 005,Jesús María,2022,Diciembre,3,3,,
01 006,Pabellón de Arteaga,Total,Total,3,2,1,
01 006,Pabellón de Arteaga,Total,Marzo,1,1,,
01 006,Pabellón de Arteaga,Total,Octubre,2,1,1,
01 006,Pabellón de Arteaga,2022,Total,3,2,1,
01 006,Pabellón de Arteaga,2022,Marzo,1,1,,
01 006,Pabellón de Arteaga,2022,Octubre,2,1,1,
01 007,Rincón de Romos,Total,Total,4,3,1,
01 007,Rincón de Romos,Total,Febrero,1,,1,
01 007,Rincón de Romos,Total,Abril,1,1,,
01 007,Rincón de Romos,Total,Julio,1,1,,
01 007,Rincón de Romos,Total,Septiembre,1,1,,
01 007,Rincón de Romos,2022,Total,4,3,1,
01 007,Rincón de Romos,2022,Febrero,1,,1,
01 007,Rincón de Romos,2022,Abril,1,1,,
01 007,Rincón de Romos,2022,Julio,1,1,,
01 007,Rincón de Romos,2022,Septiembre,1,1,,
01 008,San José de Gracia,Total,Total,2,2,,
01 008,San José de Gracia,Total,Agosto,2,2,,
01 008,San José de Gracia,2022,Total,2,2,,
01 008,San José de Gracia,2022,Agosto,2,2,,
01 009,Tepezalá,Total,Total,3,3,,
01 009,Tepezalá,Total,Julio,1,1,,
01 009,Tepezalá,Total,Octubre,2,2,,
01 009,Tepezalá,2022,Total,3,3,,
01 009,Tepezalá,2022,Julio,1,1,,
01 009,Tepezalá,2022,Octubre,2,2,,
01 010,El Llano,Total,Total,3,3,,
01 010,El Llano,Total,Noviembre,3,3,,
01 010,El Llano,2022,Total,3,3,,
01 010,El Llano,2022,Noviembre,3,3,,
01 011,San Francisco de los Romo,Total,Total,3,1,2,
01 011,San Francisco de los Romo,Total,Octubre,3,1,2,
01 011,San Francisco de los Romo,2022,Total,3,1,2,
01 011,San Francisco de los Romo,2022,Octubre,3,1,2,
2,Baja California,Total,Total,"2,881","2,438",315,128
2,Baja California,Total,Enero,223,184,31,8
2,Baja California,Total,Febrero,182,158,16,8
2,Baja California,Total,Marzo,235,194,32,9
2,Baja California,Total,Abril,201,162,29,10
2,Baja California,Total,Mayo,250,220,23,7
2,Baja California,Total,Junio,293,232,33,28
2,Baja California,Total,Julio,254,214,32,8
2,Baja California,Total,Agosto,247,200,27,20
2,Baja California,Total,Septiembre,238,214,24,
2,Baja California,Total,Octubre,237,209,12,16
2,Baja California,Total,Noviembre,239,202,26,11
2,Baja California,Total,Diciembre,275,243,30,2
2,Baja California,Total,No especificado,7,6,,1
2,Baja California,2019,Total,6,1,1,4
2,Baja California,2019,Agosto,5,,1,4
2,Baja California,2019,Diciembre,1,1,,
2,Baja California,2020,Total,21,9,4,8
2,Baja California,2020,Mayo,2,2,,
2,Baja California,2020,Julio,4,2,2,
2,Baja California,2020,Agosto,3,,1,2
2,Baja California,2020,Septiembre,1,1,,
2,Baja California,2020,Octubre,5,,1,4
2,Baja California,2020,Noviembre,4,2,,2
2,Baja California,2020,Diciembre,2,2,,
2,Baja California,2021,Total,139,114,12,13
2,Baja California,2021,Enero,1,1,,
2,Baja California,2021,Febrero,4,3,,1
2,Baja California,2021,Marzo,4,4,,
2,Baja California,2021,Abril,6,6,,
2,Baja California,2021,Mayo,3,3,,
2,Baja California,2021,Junio,10,6,1,3
2,Baja California,2021,Julio,7,7,,
2,Baja California,2021,Agosto,10,7,3,
2,Baja California,2021,Septiembre,14,14,,
2,Baja California,2021,Octubre,21,14,,7
2,Baja California,2021,Noviembre,21,18,2,1
2,Baja California,2021,Diciembre,38,31,6,1
2,Baja California,2022,Total,"2,712","2,312",298,102
2,Baja California,2022,Enero,222,183,31,8
2,Baja California,2022,Febrero,178,155,16,7
2,Baja California,2022,Marzo,231,190,32,9
2,Baja California,2022,Abril,195,156,29,10
2,Baja California,2022,Mayo,245,215,23,7
2,Baja California,2022,Junio,283,226,32,25
2,Baja California,2022,Julio,243,205,30,8
2,Baja California,2022,Agosto,229,193,22,14
2,Baja California,2022,Septiembre,223,199,24,
2,Baja California,2022,Octubre,211,195,11,5
2,Baja California,2022,Noviembre,214,182,24,8
2,Baja California,2022,Diciembre,234,209,24,1
2,Baja California,2022,No especificado,4,4,,
2,Baja California,No especificado,Total,3,2,,1
2,Baja California,No especificado,No especificado,3,2,,1
02 001,Ensenada,Total,Total,164,141,23,
02 001,Ensenada,Total,Enero,18,16,2,
02 001,Ensenada,Total,Febrero,15,13,2,
02 001,Ensenada,Total,Marzo,14,12,2,
02 001,Ensenada,Total,Abril,14,9,5,
02 001,Ensenada,Total,Mayo,16,15,1,
02 001,Ensenada,Total,Junio,12,10,2,
02 001,Ensenada,Total,Julio,23,20,3,
02 001,Ensenada,Total,Agosto,17,14,3,
02 001,Ensenada,Total,Septiembre,11,11,,
02 001,Ensenada,Total,Octubre,8,7,1,
02 001,Ensenada,Total,Noviembre,8,7,1,
02 001,Ensenada,Total,Diciembre,8,7,1,
02 001,Ensenada,2020,Total,4,3,1,
02 001,Ensenada,2020,Julio,1,1,,
02 001,Ensenada,2020,Septiembre,1,1,,
02 001,Ensenada,2020,Octubre,1,,1,
02 001,Ensenada,2020,Noviembre,1,1,,
02 001,Ensenada,2021,Total,16,15,1,
02 001,Ensenada,2021,Abril,1,1,,
02 001,Ensenada,2021,Mayo,2,2,,
02 001,Ensenada,2021,Agosto,3,2,1,
02 001,Ensenada,2021,Septiembre,5,5,,
02 001,Ensenada,2021,Octubre,1,1,,
02 001,Ensenada,2021,Noviembre,3,3,,
02 001,Ensenada,2021,Diciembre,1,1,,
02 001,Ensenada,2022,Total,144,123,21,
02 001,Ensenada,2022,Enero,18,16,2,
02 001,Ensenada,2022,Febrero,15,13,2,
02 001,Ensenada,2022,Marzo,14,12,2,
02 001,Ensenada,2022,Abril,13,8,5,
02 001,Ensenada,2022,Mayo,14,13,1,
02 001,Ensenada,2022,Junio,12,10,2,
02 001,Ensenada,2022,Julio,22,19,3,
02 001,Ensenada,2022,Agosto,14,12,2,
02 001,Ensenada,2022,Septiembre,5,5,,
02 001,Ensenada,2022,Octubre,6,6,,
02 001,Ensenada,2022,Noviembre,4,3,1,
02 001,Ensenada,2022,Diciembre,7,6,1,
02 002,Mexicali,Total,Total,202,187,15,
02 002,Mexicali,Total,Enero,25,21,4,
02 002,Mexicali,Total,Febrero,17,17,,
02 002,Mexicali,Total,Marzo,10,8,2,
02 002,Mexicali,Total,Abril,19,17,2,
02 002,Mexicali,Total,Mayo,19,17,2,
02 002,Mexicali,Total,Junio,23,22,1,
02 002,Mexicali,Total,Julio,16,16,,
02 002,Mexicali,Total,Agosto,8,8,,
02 002,Mexicali,Total,Septiembre,17,15,2,
02 002,Mexicali,Total,Octubre,12,12,,
02 002,Mexicali,Total,Noviembre,7,7,,
02 002,Mexicali,Total,Diciembre,29,27,2,
02 002,Mexicali,2022,Total,202,187,15,
02 002,Mexicali,2022,Enero,25,21,4,
02 002,Mexicali,2022,Febrero,17,17,,
02 002,Mexicali,2022,Marzo,10,8,2,
02 002,Mexicali,2022,Abril,19,17,2,
02 002,Mexicali,2022,Mayo,19,17,2,
02 002,Mexicali,2022,Junio,23,22,1,
02 002,Mexicali,2022,Julio,16,16,,
02 002,Mexicali,2022,Agosto,8,8,,
02 002,Mexicali,2022,Septiembre,17,15,2,
02 002,Mexicali,2022,Octubre,12,12,,
02 002,Mexicali,2022,Noviembre,7,7,,
02 002,Mexicali,2022,Diciembre,29,27,2,
02 003,Tecate,Total,Total,107,94,10,3
02 003,Tecate,Total,Enero,7,6,,1
02 003,Tecate,Total,Febrero,3,3,,
02 003,Tecate,Total,Marzo,10,10,,
02 003,Tecate,Total,Abril,4,3,,1
02 003,Tecate,Total,Mayo,16,16,,
02 003,Tecate,Total,Junio,5,3,2,
02 003,Tecate,Total,Julio,11,11,,
02 003,Tecate,Total,Agosto,6,4,2,
02 003,Tecate,Total,Septiembre,9,7,2,
02 003,Tecate,Total,Octubre,12,9,3,
02 003,Tecate,Total,Noviembre,10,10,,
02 003,Tecate,Total,Diciembre,9,8,1,
02 003,Tecate,Total,No especificado,5,4,,1
02 003,Tecate,2021,Total,12,11,1,
02 003,Tecate,2021,Febrero,1,1,,
02 003,Tecate,2021,Julio,2,2,,
02 003,Tecate,2021,Septiembre,2,2,,
02 003,Tecate,2021,Noviembre,2,2,,
02 003,Tecate,2021,Diciembre,5,4,1,
02 003,Tecate,2022,Total,92,81,9,2
02 003,Tecate,2022,Enero,7,6,,1
02 003,Tecate,2022,Febrero,2,2,,
02 003,Tecate,2022,Marzo,10,10,,
02 003,Tecate,2022,Abril,4,3,,1
02 003,Tecate,2022,Mayo,16,16,,
02 003,Tecate,2022,Junio,5,3,2,
02 003,Tecate,2022,Julio,9,9,,
02 003,Tecate,2022,Agosto,6,4,2,
02 003,Tecate,2022,Septiembre,7,5,2,
02 003,Tecate,2022,Octubre,12,9,3,
02 003,Tecate,2022,Noviembre,8,8,,
02 003,Tecate,2022,Diciembre,4,4,,
02 003,Tecate,2022,No especificado,2,2,,
02 003,Tecate,No especificado,Total,3,2,,1
02 003,Tecate,No especificado,No especificado,3,2,,1
02 004,Tijuana,Total,Total,"2,192","1,826",243,123
02 004,Tijuana,Total,Enero,158,127,24,7
02 004,Tijuana,Total,Febrero,135,113,14,8
02 004,Tijuana,Total,Marzo,109,90,11,8
02 004,Tijuana,Total,Abril,155,124,22,9
02 004,Tijuana,Total,Mayo,193,167,19,7
02 004,Tijuana,Total,Junio,246,190,28,28
02 004,Tijuana,Total,Julio,185,150,27,8
02 004,Tijuana,Total,Agosto,213,172,22,19
02 004,Tijuana,Total,Septiembre,189,171,18,
02 004,Tijuana,Total,Octubre,189,166,7,16
02 004,Tijuana,Total,Noviembre,205,169,25,11
02 004,Tijuana,Total,Diciembre,213,185,26,2
02 004,Tijuana,Total,No especificado,2,2,,
02 004,Tijuana,2019,Total,4,,1,3
02 004,Tijuana,2019,Agosto,4,,1,3
02 004,Tijuana,2020,Total,14,4,2,8
02 004,Tijuana,2020,Mayo,2,2,,
02 004,Tijuana,2020,Julio,1,,1,
02 004,Tijuana,2020,Agosto,3,,1,2
02 004,Tijuana,2020,Octubre,4,,,4
02 004,Tijuana,2020,Noviembre,3,1,,2
02 004,Tijuana,2020,Diciembre,1,1,,
02 004,Tijuana,2021,Total,101,78,10,13
02 004,Tijuana,2021,Enero,1,1,,
02 004,Tijuana,2021,Febrero,3,2,,1
02 004,Tijuana,2021,Marzo,2,2,,
02 004,Tijuana,2021,Abril,4,4,,
02 004,Tijuana,2021,Mayo,1,1,,
02 004,Tijuana,2021,Junio,9,5,1,3
02 004,Tijuana,2021,Julio,5,5,,
02 004,Tijuana,2021,Agosto,7,5,2,
02 004,Tijuana,2021,Septiembre,7,7,,
02 004,Tijuana,2021,Octubre,19,12,,7
02 004,Tijuana,2021,Noviembre,14,11,2,1
02 004,Tijuana,2021,Diciembre,29,23,5,1
02 004,Tijuana,2022,Total,"2,073","1,744",230,99
02 004,Tijuana,2022,Enero,157,126,24,7
02 004,Tijuana,2022,Febrero,132,111,14,7
02 004,Tijuana,2022,Marzo,107,88,11,8
02 004,Tijuana,2022,Abril,151,120,22,9
02 004,Tijuana,2022,Mayo,190,164,19,7
02 004,Tijuana,2022,Junio,237,185,27,25
02 004,Tijuana,2022,Julio,179,145,26,8
02 004,Tijuana,2022,Agosto,199,167,18,14
02 004,Tijuana,2022,Septiembre,182,164,18,
02 004,Tijuana,2022,Octubre,166,154,7,5
02 004,Tijuana,2022,Noviembre,188,157,23,8
02 004,Tijuana,2022,Diciembre,183,161,21,1
02 004,Tijuana,2022,No especificado,2,2,,
02 005,Playas de Rosarito,Total,Total,99,91,7,1
02 005,Playas de Rosarito,Total,Enero,14,13,1,
02 005,Playas de Rosarito,Total,Febrero,9,9,,
02 005,Playas de Rosarito,Total,Marzo,14,11,2,1
02 005,Playas de Rosarito,Total,Abril,5,5,,
02 005,Playas de Rosarito,Total,Mayo,3,3,,
02 005,Playas de Rosarito,Total,Junio,4,4,,
02 005,Playas de Rosarito,Total,Julio,12,11,1,
02 005,Playas de Rosarito,Total,Agosto,1,1,,
02 005,Playas de Rosarito,Total,Septiembre,8,6,2,
02 005,Playas de Rosarito,Total,Octubre,9,8,1,
02 005,Playas de Rosarito,Total,Noviembre,6,6,,
02 005,Playas de Rosarito,Total,Diciembre,14,14,,
02 005,Playas de Rosarito,2021,Total,5,5,,
02 005,Playas de Rosarito,2021,Noviembre,2,2,,
02 005,Playas de Rosarito,2021,Diciembre,3,3,,
02 005,Playas de Rosarito,2022,Total,94,86,7,1
02 005,Playas de Rosarito,2022,Enero,14,13,1,
02 005,Playas de Rosarito,2022,Febrero,9,9,,
02 005,Playas de Rosarito,2022,Marzo,14,11,2,1
02 005,Playas de Rosarito,2022,Abril,5,5,,
02 005,Playas de Rosarito,2022,Mayo,3,3,,
02 005,Playas de Rosarito,2022,Junio,4,4,,
02 005,Playas de Rosarito,2022,Julio,12,11,1,
02 005,Playas de Rosarito,2022,Agosto,1,1,,
02 005,Playas de Rosarito,2022,Septiembre,8,6,2,
02 005,Playas de Rosarito,2022,Octubre,9,8,1,
02 005,Playas de Rosarito,2022,Noviembre,4,4,,
02 005,Playas de Rosarito,2022,Diciembre,11,11,,
02 006,San Quintín,Total,Total,21,19,2,
02 006,San Quintín,Total,Enero,1,1,,
02 006,San Quintín,Total,Febrero,1,1,,
02 006,San Quintín,Total,Marzo,4,4,,
02 006,San Quintín,Total,Abril,1,1,,
02 006,San Quintín,Total,Mayo,2,1,1,
02 006,San Quintín,Total,Julio,4,3,1,
02 006,San Quintín,Total,Agosto,1,1,,
02 006,San Quintín,Total,Septiembre,1,1,,
02 006,San Quintín,Total,Octubre,4,4,,
02 006,San Quintín,Total,Noviembre,1,1,,
02 006,San Quintín,Total,Diciembre,1,1,,
02 006,San Quintín,2019,Total,1,1,,
02 006,San Quintín,2019,Diciembre,1,1,,
02 006,San Quintín,2020,Total,2,1,1,
02 006,San Quintín,2020,Julio,2,1,1,
02 006,San Quintín,2021,Total,4,4,,
02 006,San Quintín,2021,Marzo,2,2,,
02 006,San Quintín,2021,Abril,1,1,,
02 006,San Quintín,2021,Octubre,1,1,,
02 006,San Quintín,2022,Total,14,13,1,
02 006,San Quintín,2022,Enero,1,1,,
02 006,San Quintín,2022,Febrero,1,1,,
02 006,San Quintín,2022,Marzo,2,2,,
02 006,San Quintín,2022,Mayo,2,1,1,
02 006,San Quintín,2022,Julio,2,2,,
02 006,San Quintín,2022,Agosto,1,1,,
02 006,San Quintín,2022,Septiembre,1,1,,
02 006,San Quintín,2022,Octubre,3,3,,
02 006,San Quintín,2022,Noviembre,1,1,,
02 007,San Felipe,Total,Total,11,11,,
02 007,San Felipe,Total,Marzo,1,1,,
02 007,San Felipe,Total,Abril,1,1,,
02 007,San Felipe,Total,Mayo,1,1,,
02 007,San Felipe,Total,Julio,2,2,,
02 007,San Felipe,Total,Septiembre,2,2,,
02 007,San Felipe,Total,Octubre,2,2,,
02 007,San Felipe,Total,Noviembre,2,2,,
02 007,San Felipe,2022,Total,11,11,,
02 007,San Felipe,2022,Marzo,1,1,,
02 007,San Felipe,2022,Abril,1,1,,
02 007,San Felipe,2022,Mayo,1,1,,
02 007,San Felipe,2022,Julio,2,2,,
02 007,San Felipe,2022,Septiembre,2,2,,
02 007,San Felipe,2022,Octubre,2,2,,
02 007,San Felipe,2022,Noviembre,2,2,,
02 999,No especificado,Total,Total,85,69,15,1
02 999,No especificado,Total,Febrero,2,2,,
02 999,No especificado,Total,Marzo,73,58,15,
02 999,No especificado,Total,Abril,2,2,,
02 999,No especificado,Total,Junio,3,3,,
02 999,No especificado,Total,Julio,1,1,,
02 999,No especificado,Total,Agosto,1,,,1
02 999,No especificado,Total,Septiembre,1,1,,
02 999,No especificado,Total,Octubre,1,1,,
02 999,No especificado,Total,Diciembre,1,1,,
02 999,No especificado,2019,Total,1,,,1
02 999,No especificado,2019,Agosto,1,,,1
02 999,No especificado,2020,Total,1,1,,
02 999,No especificado,2020,Diciembre,1,1,,
02 999,No especificado,2021,Total,1,1,,
02 999,No especificado,2021,Junio,1,1,,
02 999,No especificado,2022,Total,82,67,15,
02 999,No especificado,2022,Febrero,2,2,,
02 999,No especificado,2022,Marzo,73,58,15,
02 999,No especificado,2022,Abril,2,2,,
02 999,No especificado,2022,Junio,2,2,,
02 999,No especificado,2022,Julio,1,1,,
02 999,No especificado,2022,Septiembre,1,1,,
02 999,No especificado,2022,Octubre,1,1,,
3,Baja California Sur,Total,Total,81,67,14,
3,Baja California Sur,Total,Enero,5,4,1,
3,Baja California Sur,Total,Febrero,4,3,1,
3,Baja California Sur,Total,Marzo,2,2,,
3,Baja California Sur,Total,Abril,3,2,1,
3,Baja California Sur,Total,Mayo,2,2,,
3,Baja California Sur,Total,Junio,8,5,3,
3,Baja California Sur,Total,Julio,3,2,1,
3,Baja California Sur,Total,Agosto,4,4,,
3,Baja California Sur,Total,Septiembre,6,5,1,
3,Baja California Sur,Total,Octubre,2,1,1,
3,Baja California Sur,Total,Noviembre,1,1,,
3,Baja California Sur,Total,Diciembre,5,5,,
3,Baja California Sur,Total,No especificado,36,31,5,
3,Baja California Sur,2021,Total,1,,1,
3,Baja California Sur,2021,Junio,1,,1,
3,Baja California Sur,2022,Total,44,36,8,
3,Baja California Sur,2022,Enero,5,4,1,
3,Baja California Sur,2022,Febrero,4,3,1,
3,Baja California Sur,2022,Marzo,2,2,,
3,Baja California Sur,2022,Abril,3,2,1,
3,Baja California Sur,2022,Mayo,2,2,,
3,Baja California Sur,2022,Junio,7,5,2,
3,Baja California Sur,2022,Julio,3,2,1,
3,Baja California Sur,2022,Agosto,4,4,,
3,Baja California Sur,2022,Septiembre,6,5,1,
3,Baja California Sur,2022,Octubre,2,1,1,
3,Baja California Sur,2022,Noviembre,1,1,,
3,Baja California Sur,2022,Diciembre,5,5,,
3,Baja California Sur,No especificado,Total,36,31,5,
3,Baja California Sur,No especificado,No especificado,36,31,5,
03 001,Comondú,Total,Total,21,16,5,
03 001,Comondú,Total,Febrero,1,,1,
03 001,Comondú,Total,Julio,1,1,,
03 001,Comondú,Total,Agosto,1,1,,
03 001,Comondú,Total,Septiembre,2,2,,
03 001,Comondú,Total,Diciembre,1,1,,
03 001,Comondú,Total,No especificado,15,11,4,
03 001,Comondú,2022,Total,6,5,1,
03 001,Comondú,2022,Febrero,1,,1,
03 001,Comondú,2022,Julio,1,1,,
03 001,Comondú,2022,Agosto,1,1,,
03 001,Comondú,2022,Septiembre,2,2,,
03 001,Comondú,2022,Diciembre,1,1,,
